arrivalDate,arrivalTime,availableSeats,busType,departureDate,departureTime,destination,fare,paytm_bus_id,source,travel_name
21/07/19,725,29,VOLVO,20/07/19,1700,Manali,700,4795:3360:4483:1700:0725:1:0,Delhi,IntrCity SmartBus-RailYatri
21/07/19,835,29,"2+2, VOLVO SEMI SLEEPER, AC, LED",20/07/19,1805,Manali,1299,4795:3360:4571:1805:0835:1:0,Delhi,Royal Travel Hills
21/07/19,1115,41,"2+2, VOLVO SEMI SLEEPER, AC, LCD",20/07/19,2200,Manali,1149,4795:3360:4414:2200:1115:1:0,Delhi,Laxmi Holidays
21/07/19,930,31,"2+2, VOLVO B9R SEMI SLEEPER, AC, LCD",20/07/19,2000,Manali,1099,4795:3360:388:2000:0930:1:0,Delhi,Holiday Appeal
21/07/19,1121,25,VOLVO,20/07/19,2100,Manali,700,4795:3360:4483:2100:1121:1:0,Delhi,IntrCity SmartBus-RailYatri
21/07/19,700,33,"2+2, VOLVO SEMI SLEEPER, AC, LCD",20/07/19,1730,Manali,999,4795:3360:3922:1730:0700:1:0,Delhi,Shubham Holiday.
21/07/19,1130,17,"2+2, VOLVO B9R SEMI SLEEPER, AC, LCD",20/07/19,2200,Manali,1099,4795:3360:388:2200:1130:1:0,Delhi,Holiday Appeal
21/07/19,800,29,"2+2, BHARATHBENZ LUXURY SEMISLEEPER, AC, VIDEO",20/07/19,1745,Manali,749,4795:3360:186:1745:0800:1:0,Delhi,ADVENTURE BOOKING CENTER PVT LTD
21/07/19,1055,17,"2+2, VOLVO SEMI SLEEPER, AC, LED",20/07/19,2100,Manali,1567,4795:3360:4571:2100:1055:1:0,Delhi,Royal Travel Hills
21/07/19,1030,27,"2+2, VOLVO SEMI SLEEPER, AC, LCD",20/07/19,2130,Manali,1199,4795:3360:4519:2030:1030:1:0,Delhi,Fox Travel
21/07/19,500,24,"2+2, VOLVO SEMI SLEEPER/PUSH BACK, AC, VIDEO",20/07/19,1730,Manali,749,4795:3360:186:1730:0500:1:0,Delhi,BLUE WORLD TOURIST PVT LTD
21/07/19,945,11,"2+2, VOLVO SEMI SLEEPER, AC, VIDEO",20/07/19,2015,Manali,1099,4795:3360:3815:2015:0945:1:0,Delhi,Heera Himachal Holidays(Delhi)
21/07/19,1130,41,"2+2, VOLVO SEMI SLEEPER, AC, LED",20/07/19,2200,Manali,900,4795:3360:2979:2200:1130:1:0,Delhi,Yatrabybus(YBB)
21/07/19,1130,30,"2+2, VOLVO SEMI SLEEPER, AC, VIDEO",20/07/19,2215,Manali,899,4795:3360:852:2215:1130:1:0,Delhi,Northern Volvo(NV)
21/07/19,720,29,"2+2, VOLVO SEMI SLEEPER, AC, VIDEO",20/07/19,1715,Manali,799,4795:3360:3815:1715:0720:1:0,Delhi,Heera Himachal Holidays (Delhi)
21/07/19,730,39,"2+2, VOLVO SEMI SLEEPER, AC, LED",20/07/19,1730,Manali,749,4795:3360:4607:1730:0730:1:0,Delhi,Zingbus
21/07/19,755,41,VOLVO,20/07/19,1730,Manali,700,4795:3360:4483:1730:0755:1:0,Delhi,IntrCity SmartBus-RailYatri
21/07/19,800,41,"2+2, VOLVO SEMI SLEEPER, AC, LCD",20/07/19,1800,Manali,1399,4795:3360:4688:1800:0800:1:0,Delhi,Subh Yatri Holidays
21/07/19,855,33,VOLVO,20/07/19,1830,Manali,700,4795:3360:4483:1830:0855:1:0,Delhi,IntrCity SmartBus-RailYatri
21/07/19,815,17,"2+2, VOLVO SEMI SLEEPER, AC",20/07/19,1715,Manali,766,4795:3360:3767:1715:0815:1:0,Delhi,Travel HUB.
21/07/19,730,33,"2+2, VOLVO B11R MULTI-AXLE SEMI SLEEPER AUTO TRANSMISSION, AC, VIDEO",20/07/19,1730,Manali,888,4795:3360:224:1730:0730:1:0,Delhi,City Land Travels
21/07/19,830,25,"2+2, BHARATHBENZ LUXURY SEMISLEEPER, AC, LED",20/07/19,1830,Manali,900,4795:3360:4493:1830:0830:1:0,Delhi,Bhagyashree Tour And Travels
21/07/19,800,17,2 X 2 -(41)VOLVO EUR4 B8R 2X2 A/C SEMI SLEEPER,20/07/19,1800,Manali,1099,4795:3360:4506:1800:0800:1:0,Delhi,Cab India Travels
21/07/19,1100,37,"2+2, VOLVO SEMI SLEEPER, AC, VIDEO",20/07/19,2130,Manali,888,4795:3360:224:2130:1100:1:0,Delhi,City Land Travels
21/07/19,1100,9,"2+2, VOLVO SEMI SLEEPER, AC, VIDEO",20/07/19,2240,Manali,1088,4795:3360:224:2130:1100:1:0,Delhi,City Land Travels
21/07/19,830,41,"2+2, VOLVO SEMI SLEEPER, AC, VIDEO",20/07/19,2000,Manali,1199,4795:3360:3582:2000:0830:1:0,Delhi,SRT VOLVO BUS
21/07/19,800,33,"2+2, MULTI AXLE VOLVO, AC, VIDEO",20/07/19,1730,Manali,899,4795:3360:374:1730:0800:1:0,Delhi,HIMACHAL TOUR JOURNEY
